ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
45,"  Dépôt par le conseiller sur web-projet de l’évaluation du rapport d’étape 1; ingénierie de concept",11/13/20,11/20/20,6,0,0,,,3.2,,,"#999999",,
33,"  Dépôt sur web-projet de la version corrigée du rapport d’étape #1",11/20/20,11/20/20,1,0,0,,30,3.4,,,"#ff0000",,
175,Ingénierie de préliminaire,11/23/20,2/12/21,60,0,0,,33,4,,,"#000000",,
190,"  Relevés Avec précision d'une table UQAC",11/23/20,11/24/20,2,0,0,,,4.1,,,"#ffff00",,
198,"  Analyse détaillé des besoins",11/25/20,12/1/20,5,0,0,,190,4.2,,,"#ff6600",,
176,"  À déterminer en fonction du projet choisit",12/2/20,2/1/21,44,0,0,,198,4.3,,,,,
184,"  Rédaction du rapport d'ingénierie préliminaire",1/22/21,2/12/21,16,0,0,,,4.4,,,"#00ff00",,
1,Rapport #2  ingénierie Préliminaire,2/12/21,2/19/21,6,0,0,,,5,,,"#ff0000",,
3,"  Remise du rapport au conseillier",2/12/21,2/12/21,1,0,0,,,5.1,,,"#ff0000",,
7,"  Correction rapport 1",2/15/21,2/18/21,4,0,0,,3,5.2,,,"#00ff00",,
5,"  Dépôt par le conseiller sur web-projet de l’évaluation du rapport d’étape 1; ingénierie de concept",2/19/21,2/19/21,1,0,0,,,5.3,,,"#999999",,
9,"  Dépôt sur web-projet de la version corrigée du rapport d’étape #1",2/19/21,2/19/21,1,0,0,,7,5.4,,,"#ff0000",,
201,Ingénierie Détaillé,2/22/21,3/25/21,24,0,0,,9,6,,,"#000000",,
207,"  Finaliser l'ingénierie selon préliminaire",2/22/21,3/25/21,24,0,0,,,6.1,,,,,
210,"  Rédaction du rapport détaillé",3/3/21,3/25/21,17,0,0,,,6.2,,,"#00ff00",,
97,Rapport #3  ingénierie Détaillée,3/26/21,4/2/21,6,0,0,,,7,,,"#ff0000",,
99,"  Remise du rapport au conseillier",3/26/21,3/26/21,1,0,0,,,7.1,,,"#ff0000",,
103,"  Correction rapport 3",3/29/21,4/1/21,4,0,0,,99,7.2,,,"#00ff00",,
101,"  Dépôt par le conseiller sur web-projet de l’évaluation du rapport d’étape 3; ingénierie Détaillée",4/2/21,4/2/21,1,0,0,,103,7.3,,,"#999999",,
105,"  Dépôt sur web-projet de la version corrigée du rapport d’étape #3",4/2/21,4/2/21,1,0,0,,103,7.4,,,"#ff0000",,
112,Présentation,4/9/21,4/29/21,15,0,0,,,8,,,"#000000",,
114,"  Dépot sur web-projet du résumé de projet",4/9/21,4/9/21,1,0,0,,,8.1,,,"#ff0000",,
115,"  Présentations publiques des projets devant jury",4/12/21,4/15/21,4,0,0,,,8.2,,,"#ff6600",,
117,"  Rencontre du comité-aviseur – revue des évaluations de projets",4/29/21,4/29/21,1,0,0,,,8.3,,,"#999999",,


ID,Name,Default role,e-mail,Phone,Assignment role,Standard rate
0,Antoine Boucher,SoftwareDevelopment:2,,,,0
1,Benjamin Quessy,Default:1,,,,0
2,Alexandre Tremblay,SoftwareDevelopment:2,,,,0
3,Alexandre Robicheau,Superviser,,,,0
